Subcell_ID,Longitude,Latitude,Area
142,72.63021,23.03646,Maninagar Taluka
143,72.63021,23.05729,Asarva Taluka
144,72.65104,23.04688,Asarva Taluka
145,72.63021,23.06771,Asarva Taluka
146,72.64063,23.06771,Asarva Taluka
147,72.64063,23.08854,Asarva Taluka
148,72.64063,23.11979,Gandhinagar Taluka
149,72.65104,23.11979,Gandhinagar Taluka
150,72.63021,23.10938,Gandhinagar Taluka
151,72.68229,22.93229,Daskroi Taluka
152,72.67188,22.93229,Vatva Taluka
153,72.67188,22.91146,Daskroi Taluka
154,72.68229,22.95313,Daskroi Taluka
155,72.67188,22.96354,Daskroi Taluka
156,72.68229,22.94271,Daskroi Taluka
157,72.67188,22.98438,Vatva Taluka
158,72.67188,22.97396,Daskroi Taluka
159,72.66146,22.97396,Vatva Taluka
160,72.66146,23.02604,Vatva Taluka
161,72.67188,23.00521,Vatva Taluka
162,72.66146,23.01563,Vatva Taluka
163,72.66146,23.03646,Asarva Taluka
164,72.68229,23.05729,Asarva Taluka
165,72.68229,23.03646,Daskroi Taluka
166,72.66146,23.06771,Asarva Taluka
167,72.67188,23.06771,Asarva Taluka
168,72.68229,23.06771,Daskroi Taluka
169,72.68229,23.09896,Daskroi Taluka
170,72.68229,23.11979,Gandhinagar Taluka
171,72.68229,23.10938,Gandhinagar Taluka
172,72.71354,22.97396,Daskroi Taluka
173,72.69271,22.98438,Daskroi Taluka
174,72.70313,22.99479,Daskroi Taluka
175,72.70313,23.02604,Daskroi Taluka
176,72.70313,23.00521,Daskroi Taluka
177,72.69271,23.00521,Vatva Taluka
178,72.69271,23.08854,Daskroi Taluka
179,72.70313,23.06771,Daskroi Taluka
180,72.70313,23.08854,Daskroi Taluka
181,72.69271,23.10938,Gandhinagar Taluka
182,72.70313,23.10938,Daskroi Taluka
183,72.69271,23.09896,Daskroi Taluka
184,72.49479,22.91146,Daskroi Taluka
185,72.52604,22.91146,Daskroi Taluka
186,72.53646,22.91146,Daskroi Taluka
187,72.55729,22.91146,Daskroi Taluka
188,72.56771,22.91146,Daskroi Taluka
189,72.58854,22.91146,Daskroi Taluka
190,72.65104,22.91146,Daskroi Taluka
191,72.66146,22.91146,Daskroi Taluka
192,72.68229,22.91146,Daskroi Taluka
193,72.48438,22.91146,Daskroi Taluka
194,72.54688,22.91146,Daskroi Taluka
195,72.57813,22.91146,Daskroi Taluka
196,72.60938,22.91146,Daskroi Taluka
197,72.47396,22.92188,Daskroi Taluka
198,72.49479,22.92188,Daskroi Taluka
199,72.51563,22.92188,Vejalpur Taluka
200,72.52604,22.92188,Daskroi Taluka
201,72.53646,22.92188,Vatva Taluka
202,72.54688,22.92188,Daskroi Taluka
203,72.57813,22.92188,Daskroi Taluka
204,72.59896,22.92188,Daskroi Taluka
205,72.60938,22.92188,Daskroi Taluka
206,72.61979,22.92188,Vatva Taluka
207,72.63021,22.92188,Daskroi Taluka
208,72.64063,22.92188,Daskroi Taluka
209,72.66146,22.92188,Daskroi Taluka
210,72.67188,22.92188,Daskroi Taluka
211,72.68229,22.92188,Daskroi Taluka
212,72.47396,22.93229,Daskroi Taluka
213,72.49479,22.93229,Daskroi Taluka
214,72.50521,22.93229,Vejalpur Taluka
215,72.51563,22.93229,Vejalpur Taluka
216,72.52604,22.93229,Vejalpur Taluka
217,72.53646,22.93229,Vatva Taluka
218,72.57813,22.93229,Vatva Taluka
219,72.58854,22.93229,Vatva Taluka
220,72.59896,22.93229,Daskroi Taluka
221,72.60938,22.93229,Vatva Taluka
222,72.63021,22.93229,Daskroi Taluka
223,72.64063,22.93229,Daskroi Taluka
224,72.65104,22.93229,Vatva Taluka
225,72.66146,22.93229,Vatva Taluka
226,72.47396,22.94271,Daskroi Taluka
227,72.49479,22.94271,Vejalpur Taluka
228,72.50521,22.94271,Vejalpur Taluka
229,72.52604,22.94271,Vejalpur Taluka
230,72.53646,22.94271,Vatva Taluka
231,72.55729,22.94271,Vatva Taluka
232,72.56771,22.94271,Vatva Taluka
233,72.57813,22.94271,Vatva Taluka
234,72.58854,22.94271,Vatva Taluka
235,72.59896,22.94271,Vatva Taluka
236,72.61979,22.94271,Vatva Taluka
237,72.63021,22.94271,Vatva Taluka
238,72.64063,22.94271,Vatva Taluka
239,72.66146,22.94271,Vatva Taluka
240,72.67188,22.94271,Vatva Taluka
241,72.47396,22.95313,Sanand Taluka
242,72.49479,22.95313,Vejalpur Taluka
243,72.50521,22.95313,Vejalpur Taluka
244,72.52604,22.95313,Vejalpur Taluka
245,72.53646,22.95313,Vatva Taluka
246,72.56771,22.95313,Vatva Taluka
247,72.59896,22.95313,Maninagar Taluka
248,72.63021,22.95313,Vatva Taluka
249,72.65104,22.95313,Vatva Taluka
250,72.66146,22.95313,Vatva Taluka
251,72.54688,22.95313,Vatva Taluka
252,72.57813,22.95313,Maninagar Taluka
253,72.60938,22.95313,Vatva Taluka
254,72.67188,22.95313,Daskroi Taluka
255,72.47396,22.96354,Sanand Taluka
256,72.48438,22.96354,Vejalpur Taluka
257,72.50521,22.96354,Vejalpur Taluka
258,72.52604,22.96354,Vatva Taluka
259,72.53646,22.96354,Vatva Taluka
260,72.54688,22.96354,Vatva Taluka
261,72.58854,22.96354,Maninagar Taluka
262,72.59896,22.96354,Maninagar Taluka
263,72.61979,22.96354,Vatva Taluka
264,72.64063,22.96354,Vatva Taluka
265,72.65104,22.96354,Vatva Taluka
266,72.66146,22.96354,Vatva Taluka
267,72.68229,22.96354,Daskroi Taluka
268,72.44271,22.97396,Sanand Taluka
269,72.45313,22.97396,Sanand Taluka
270,72.46354,22.97396,Sanand Taluka
271,72.48438,22.97396,Vejalpur Taluka
272,72.49479,22.97396,Vejalpur Taluka
273,72.50521,22.97396,Vejalpur Taluka
274,72.51563,22.97396,Vatva Taluka
275,72.52604,22.97396,Vatva Taluka
276,72.53646,22.97396,Vatva Taluka
277,72.54688,22.97396,Vatva Taluka
278,72.55729,22.97396,Vatva Taluka
279,72.56771,22.97396,Vatva Taluka
280,72.57813,22.97396,Maninagar Taluka
281,72.58854,22.97396,Maninagar Taluka
282,72.59896,22.97396,Maninagar Taluka
283,72.60938,22.97396,Maninagar Taluka
284,72.61979,22.97396,Maninagar Taluka
285,72.63021,22.97396,Maninagar Taluka
286,72.64063,22.97396,Vatva Taluka
287,72.68229,22.97396,Daskroi Taluka
288,72.69271,22.97396,Daskroi Taluka
289,72.70313,22.97396,Daskroi Taluka
290,72.48438,22.98438,Vejalpur Taluka
291,72.54688,22.98438,Vatva Taluka
292,72.60938,22.98438,Maninagar Taluka
293,72.70313,22.98438,Daskroi Taluka
294,72.44271,22.98438,Sanand Taluka
295,72.46354,22.98438,Sanand Taluka
296,72.47396,22.98438,Vejalpur Taluka
297,72.49479,22.98438,Vejalpur Taluka
298,72.50521,22.98438,Vejalpur Taluka
299,72.53646,22.98438,Vatva Taluka
300,72.61979,22.98438,Maninagar Taluka
301,72.63021,22.98438,Maninagar Taluka
302,72.65104,22.98438,Vatva Taluka
303,72.66146,22.98438,Vatva Taluka
304,72.68229,22.98438,Vatva Taluka
305,72.71354,22.98438,Daskroi Taluka
306,72.46354,22.99479,Sanand Taluka
307,72.49479,22.99479,Vejalpur Taluka
308,72.52604,22.99479,Vatva Taluka
309,72.53646,22.99479,Vatva Taluka
310,72.56771,22.99479,Maninagar Taluka
311,72.58854,22.99479,Maninagar Taluka
312,72.63021,22.99479,Maninagar Taluka
313,72.65104,22.99479,Vatva Taluka
314,72.66146,22.99479,Vatva Taluka
315,72.68229,22.99479,Vatva Taluka
316,72.69271,22.99479,Daskroi Taluka
317,72.71354,22.99479,Daskroi Taluka
318,72.51563,22.99479,Vejalpur Taluka
319,72.57813,22.99479,Maninagar Taluka
320,72.60938,22.99479,Maninagar Taluka
321,72.67188,22.99479,Vatva Taluka
322,72.51563,23.00521,Vejalpur Taluka
323,72.46354,23.00521,Sanand Taluka
324,72.47396,23.00521,Vejalpur Taluka
325,72.49479,23.00521,Vejalpur Taluka
326,72.52604,23.00521,Vejalpur Taluka
327,72.53646,23.00521,Vejalpur Taluka
328,72.56771,23.00521,SabarmatiTaluka
329,72.58854,23.00521,Maninagar Taluka
330,72.59896,23.00521,Maninagar Taluka
331,72.61979,23.00521,Maninagar Taluka
332,72.63021,23.00521,Maninagar Taluka
333,72.65104,23.00521,Vatva Taluka
334,72.66146,23.00521,Vatva Taluka
335,72.68229,23.00521,Vatva Taluka
336,72.71354,23.00521,Daskroi Taluka
337,72.44271,23.01563,Sanand Taluka
338,72.47396,23.01563,Vejalpur Taluka
339,72.52604,23.01563,Vejalpur Taluka
340,72.53646,23.01563,Vejalpur Taluka
341,72.55729,23.01563,SabarmatiTaluka
342,72.56771,23.01563,SabarmatiTaluka
343,72.59896,23.01563,Maninagar Taluka
344,72.61979,23.01563,Maninagar Taluka
345,72.65104,23.01563,Vatva Taluka
346,72.68229,23.01563,Daskroi Taluka
347,72.69271,23.01563,Daskroi Taluka
348,72.71354,23.01563,Daskroi Taluka
349,72.45313,23.01563,Sanand Taluka
350,72.48438,23.01563,Vejalpur Taluka
351,72.51563,23.01563,Vejalpur Taluka
352,72.54688,23.01563,SabarmatiTaluka
353,72.57813,23.01563,Maninagar Taluka
354,72.64063,23.01563,Maninagar Taluka
355,72.67188,23.01563,Vatva Taluka
356,72.70313,23.01563,Daskroi Taluka
357,72.44271,23.02604,Sanand Taluka
358,72.45313,23.02604,Sanand Taluka
359,72.46354,23.02604,Sanand Taluka
